normalized_name,source,pk,code,original_name,energia_kcal,proteina_g,carbs_g,fat_g,fiber_g,fooditem_refs,foodsubstitution_as_original,foodsubstitution_as_substitute,foodsubstitutionrule_as_original,foodsubstitutionrule_as_substitute,nutritionist_favorite_count,ibge_taco_ref,ibge_tbca_ref,ibge_usda_ref
sanduiche pao frances c presunto c margarina,TBCA,864,C0308A,"Sanduíche, pão francês, c/ presunto, c/ margarina,",274.0,10.5,0.0,10.6,1.45,0,0,0,0,0,0,,,
sanduiche pao frances c presunto c margarina,TBCA,4197,C0299A,"Sanduíche, pão francês, c/ presunto, c/ margarina,",274.0,10.5,0.0,10.6,1.45,0,0,0,0,0,0,,,
sanduiche pao frances c queijo minas c margarina,TBCA,4882,C0414A,"Sanduíche, pão francês, c/ queijo minas, c/ margarina,",307.0,12.0,0.0,17.0,1.09,0,0,0,0,0,0,,,
sanduiche pao frances c queijo minas c margarina,TBCA,4008,C0316A,"Sanduíche, pão francês, c/ queijo minas, c/ margarina,",297.0,12.0,0.0,15.8,1.09,0,0,0,0,0,0,,,
castanha de caju,USDA,22,170182,Castanha de caju,553.0,18.2,30.2,43.8,3.3,0,0,0,0,0,0,,,
castanha de caju,IBGE,886,6600801,Castanha de caju,,,,,,0,0,0,0,0,0,,,
kiwi,USDA,29,169910,Kiwi,61.0,1.1,14.7,0.5,3.0,0,0,0,0,0,0,,,
kiwi,IBGE,2382,6807801,Kiwi,,,,,,0,0,0,0,0,0,,,
pistache,USDA,23,170184,Pistache,560.0,20.2,27.2,45.3,10.6,0,0,0,0,0,0,,,
pistache,IBGE,956,6602201,Pistache,,,,,,0,0,0,0,0,0,,,
roma,USDA,26,173946,Romã,83.0,1.7,18.7,1.2,4.0,0,0,0,0,0,0,,,
roma,IBGE,2372,6807601,Romã,,,,,,0,0,0,0,0,0,,,
